d,v,z,p,sed
.60399997,.082369,-2.1045296,.035300002,.287
-.018999999,.033489,.10382514,.91729999,.183
.14399999,.028561,-.85207099,.3942,.169
.249,.072899997,-.9222222,.35640001,.27000001
.42899999,.035344001,-2.2819149,.022500001,.18799999
.75099999,.030625001,-4.2914286,.000099999997,.175
.121,.049284,-.54504502,.58569998,.222
.31999999,.018769,-2.3357663,.0195,.13699999
.64700001,.057121001,-2.707113,.0068000001,.23899999
.875,.093024999,-2.8688524,.0041,.30500001
.77399999,.062001001,-3.1084337,.0019,.249
.62099999,.068121001,-2.3793104,.0173,.26100001
.63300002,.059048999,-2.6049383,.0092000002,.243
.38600001,.034968998,-2.0641711,.039000001,.18700001
.38600001,.0361,-2.031579,.042199999,.19
