d;v;SE
1.064954987;0.0000000007958476;0.000028211
0.723076997;0.001356987;0.036837306
0.747264718;0.001389332;0.037273749
0.92559525;0.001681224;0.041002729
0.979957887;0.003190931;0.056488328
0.675520529;0.003615298;0.060127347
0.747264718;0.0055866;0.074743563
0.699166665;0.005332234;0.073022146
0.92559525;0.009246704;0.096159781
0.699166665;0.008269572;0.090937189
0.583333333;0.008598557;0.092728404
0.84707582;0.031993872;0.17886831
0.606043732;0.001221432;0.034948996
0.699166665;0.002361278;0.048592979
0.771743633;0.002534584;0.050344651
0.747264718;0.003871273;0.062219556
0.560829009;0.004729637;0.068772359
0.79652821;0.005873951;0.076641706
0.47267204;0.004433848;0.066587146
0.262225245;0.005398939;0.073477476
1.154700538;0.010375464;0.101860021
0.516397779;0.008161857;0.090342996
0.451050802;0.007799138;0.088312728
0.538520464;0.008298622;0.091096771
0.34502212;0.009298764;0.0964301
0.34502212;0.009298764;0.0964301
0.538520464;0.009301169;0.096442571
0.79652821;0.010504304;0.102490507
0.429579017;0.029354388;0.171331224
0.606043732;0.031013385;0.176106176
0.387050477;0.032552326;0.180422631
0.606043732;0.045386725;0.213041603
0.675520529;0.002310134;0.048063852
