d;v;z;;sed
-0.046908315;0.004830918;-0.674893141;;0.069504805
-0.066509664;0.003436426;-1.134569883;;0.058621038
-0.056081414;0.002481389;-1.125826597;;0.049813546
0.021855233;0.002178649;0.468232751;;0.046676002
0.042040911;0.001331558;1.152105093;;0.036490519
0.238774151;0.009615385;2.435028076;;0.098058067
-0.065548718;0.020000001;-0.463499397;;0.141421363
0.03625147;0.009708738;0.367912233;;0.09853293
0.009048272;0.008264463;0.099530987;;0.090909094
0.104374498;0.006024096;1.344771385;;0.077615052
0.183334529;0.020833332;1.270178914;;0.144337565
0.269727379;0.023809526;1.748033166;;0.154303357
0.361904114;0.026315793;2.230926752;;0.162221432
0.039661907;0.003322259;0.688108325;;0.057639044
0.237232566;0.003448276;4.039925098;;0.058722019
0.374826342;0.003412969;6.41599369;;0.058420621
0.335101187;0.002469136;6.743781567;;0.049690399
0.256642461;0.001445087;6.751208782;;0.038014296
-0.064890854;0.008333333;-0.710843682;;0.091287091
-0.119776808;0.004545455;-1.776576996;;0.067419991
0.121488445;0.004065041;1.905471802;;0.063757673
-0.048614725;0.006622517;-0.597387731;;0.081378847
-0.020356508;0.003389831;-0.349634498;;0.058222253
0.102866434;0.009615385;1.049035907;;0.098058067
0.408248276;0.166666657;1;;0.408248276
0.007207199;0.006944445;0.086486392;;0.083333336
0.06301488;0.001470588;1.643226981;;0.03834825
0.11126297;0.004739337;1.61618793;;0.068842843
0.097140715;0.001157407;2.855342388;;0.034020688
-0.027141368;0.001436782;-0.716038465;;0.037904903
0.042210236;0.00613497;0.53890419;;0.078326046
0.0991503;0.003164557;1.762534142;;0.056254398
0.020088743;0.00124844;0.568550467;;0.035333265
0.29625383;0.020833332;2.052506685;;0.144337565
-0.02546782;0.001501501;-0.657247484;;0.038749211
0.018567011;0.006666667;0.2273985;;0.081649661
-0.011075282;0.001658375;-0.271965265;;0.040723149
0.008514338;0.00613497;0.108703792;;0.078326046
-0.034094177;0.003584229;-0.569485068;;0.059868433
0.154563159;0.004761904;2.239833117;;0.069006555
0.01981266;0.000868055;0.672464013;;0.029462781
-0.064438038;0.002087683;-1.410295367;;0.045691166
0.206956774;0.00990099;2.079889774;;0.099503718
-0.010743125;0.000870322;-0.36415869;;0.02950122
0.09718027;0.003472222;1.649203897;;0.058925565
0.053705458;0.006756758;0.653355062;;0.082199499
-0.015412567;0.00854701;-0.166712388;;0.092450038
-0.097179689;0.010989009;-0.927035213;;0.104828477
0.081329644;0.008403362;0.887201667;;0.09166985
-0.047898408;0.00952381;-0.490812629;;0.097590007
-0.103469998;0.005747127;-1.364862919;;0.075809807
