ID;global-specific;N1;specific-global;N2;Z2;Z1;q;Var(q);SE(q)
1;-0.12;60;0.66;60;0.792813632;-0.120581028;0.91339466;0.035087719;0.187317162
2;0.16;60;0.55;60;0.618381314;0.161386696;0.456994617;0.035087719;0.187317162
3;0.32;50;0.67;50;0.810743125;0.331647109;0.479096017;0.042553191;0.206284249
4;0.53;28;0.78;30;1.045370548;0.59014516;0.455225389;0.077037037;0.277555467
5;0.25;50;0.49;50;0.536060337;0.255412812;0.280647525;0.042553191;0.206284249
6;0.15;128;0.35;117;0.365443754;0.151140436;0.214303318;0.01677193;0.129506486
7;0.07;128;0.27;117;0.276863823;0.070114671;0.206749152;0.01677193;0.129506486
8;0.32;50;0.46;50;0.497311288;0.331647109;0.165664179;0.042553191;0.206284249
9;0.49;201;0.53;172;0.59014516;0.536060337;0.054084823;0.010967665;0.104726619
10;0.39;268;0.42;613;0.447692024;0.411800034;0.035891989;0.005412929;0.073572612
11;0.28;122;0.25;104;0.255412812;0.287682072;-0.032269261;0.018304351;0.135293575
12;0.41;265;0.37;519;0.3884231;0.435611223;-0.047188124;0.005754778;0.075860256
13;0.28;50;0.21;50;0.213171347;0.287682072;-0.074510726;0.042553191;0.206284249
14;0.33;122;0.2;122;0.202732554;0.342828254;-0.1400957;0.016806723;0.129640745
15;0.5;54;0.36;55;0.376885901;0.549306144;-0.172420243;0.038838612;0.197075144
16;0.55;60;0.28;53;0.287682072;0.618381314;-0.330699241;0.03754386;0.193762379
